Aberfeldy,Aberfeldy,56.621755826901904, -3.8712852490333742
archerfielddirelton,Archerfield - Dirleton,56.05561987724069, -2.8002925008050856
ardfin,Ardfin,55.80045661042028, -6.013064430447618
barra,Barra,57.00885040959378, -7.499347142818987
barshaw,Barshaw,55.84922301242095, -4.396183439754794
bathgate,Bathgate,55.897094501192875, -3.639685696233059
bearsden,Bearsden,55.92047038124994, -4.349090893347905
beith,Beith,55.76227217006102, -4.60377650929817
belleisle,Belleisle,55.439716148966454, -4.639405214073468
benbecula,Benbecula,57.47897521440206, -7.357382253503859
biggar,Biggar,55.61874028457912, -3.5110099531163446
bishopshire,Bishopshire,56.20866916579779, -3.326474819919076
blairmore,Blairmore and Strone,55.98978264279933, -4.900891156178639
bonarbridge,Bonar Bridge and Ardgay,57.893258559375454, -4.3333165902095745
bonnybridge,Bonnybridge,56.009510502784806, -3.879612700117515
braidhills,Braid Hills,55.91323083741643, -3.177688074229971
bridgend,Bridgend and District,55.963591516514924, -3.539853851189378
brighouse,Brighouse Bay,54.78327637012141, -4.135689149473386
broadlees,Broadlees,55.71136761341682, -4.1014523498453626
burgess,Royal Burgess,55.96211824098463, -3.305050545237052
bute,Bute,55.7612830462527, -5.058193383371659
calderbraes,Calderbraes,55.83623652853787, -4.099952533468872
callypalace,Cally Palace,54.87022457991263, -4.182448413252317
cambuslang,Cambuslang,55.823939870249056, -4.163060642621699
caprington,Caprington,55.58630468325013, -4.507764793117839
carnegie,Carnegie Links - Skibo Castle,57.87300734080402, -4.131437060307049
carrickknowe,Carrick Knowe,55.93838586959297, -3.2556668811968583
castledouglas,Castle Douglas,54.94170333330471, -3.9352025777222055
cathcartcastle,Cathcart Castle,55.7869415817153, -4.294354391288322
cathkinbraes,Cathkin Braes,55.79830590396499, -4.208036850552419
cawdorcastle,Cawdor Castle,57.5243022108352, -3.9259045708869973
charleton,Charleton,56.223057689193915, -2.8638487434967095
cluny,Cluny,56.15596296836452, -3.2143888539514607
colonsay,Colonsay,56.06515580329189, -6.243963605860788
colvend,Colvend,54.876509678045984, -3.73765019877245
colvillepark,Colville Park,55.80147425045687, -3.981766622585403
corrie,Corrie,55.66335813391489, -5.161812470237382
covesea,Covesea,57.7205889601216, -3.357604947849622
cowal,Cowal,55.96307904244056, -4.919970542020162
craggan,Craggan,57.31324998530141, -3.6287544397350264
Craigentinny,Craigentinny,55.964720829820465, -3.138612981072603
CraigieHill,CraigieHill,56.38562858817627, -3.45569859100825
Craigieknowes,Craigieknowes,54.888313110653826, -3.806599177328452
Craigielaw,Craigielaw,56.007513838134955, -2.8769584332161338
Craignure,Craignure,56.481773917707386, -5.729899138565052
crailbalcomie,Crail - Balcomie,56.28082884303196, -2.594027127730282
crailcraighead,Crail - Craighead,56.28082884303196, -2.594027127730282
Crichton,Crichton,55.0549965198863, -3.5941046216061125
crudenbayso,Cruden Bay - St Olaf,57.41346565080363, -1.8633040709334674
Culcrieff,Culcrieff,56.38851674131298, -3.844419827242965
Dalbeattie,Dalbeattie,54.9388789428296, -3.8291585916027544
Dalfaber,Dalfaber,57.1993046715362, -3.8096451004931557
dalmilling,Dalmilling,55.4677391874351, -4.593803227862002
dalmuir,dalmuir,55.915140792347934, -4.426345339750778
Dalmunzie,Dalmunzie,56.82395508055747, -3.490569945426675
dalzielpark,Dalziel Park,55.798697518412034, -3.9417122467829926
deeside1,Deeside - Blairs,57.11206984628377, -2.1893197594170886
Dollar,Dollar,56.16666438142981, -3.671255183156114
dornochstruie,Royal Dornoch - Struie,57.87909287461866, -4.023230793419833
douglaspark,Douglas Park,55.92157543778524, -4.316751878608576
DouglasWater,Douglas Water,55.594014691020575, -3.789436641988938
duddingstongolfclub,Duddingston,55.93721147464611, -3.1430506236926825
Dunaverty,Dunaverty,55.31267919746933, -5.644815394469804
Dunning,Dunning,56.31346388405346, -3.5901104244077464
Durness,Durness,58.57636626510957, -4.7729351605727395
edzell9,Edzell - West Water,56.805761827209444, -2.653815296056427
eliesportsclub,Elie Sports Club,56.1914629356332, -2.827598946054789
fairmontKittocks,Fairmont - Kittocks,56.320902700289714, -2.7306507620190668
fairmonttorrance,Fairmont - Torrance,56.320902700289714, -2.7306507620190668
falkland,Falkland,56.255178380900894, -3.201498606868803
ForresterParkResort,Forrester Park Resort,56.066201270633485, -3.532865307036462
FortAugustus,Fort Augustus,57.13715044954066, -4.689711934315578
Foulford,Foulford,56.41984836566082, -3.7870543903903577
Gairloch,Gairloch,57.71699381621887, -5.683642087798761
galashiels,Galashiels,55.621111463554854, -2.8036504137553795
GatehouseofFleet,Gatehouse of Fleet,54.88936999270767, -4.1811589514666
girvan,Girvan,55.24731415826392, -4.858641698104927
gleddoch,Gleddoch,55.918613694358015, -4.584087236930551
glencorse,Glencorse,55.849701518925336, -3.2002458138293544
gleneaglespga,Gleneagles - PGA,56.28056368963281, -3.7505370149339226
gleneagleswee,Gleneagles - Wee,56.28056368963281, -3.7505370149339226
golfit,Golf It,55.87712319615158, -4.176904007921865
Grangemouth,Grangemouth,55.99622515963771, -3.6866658565209085
greenock,Greenock,55.95072752449592, -4.7795659548335525
greenockwhinhill,Greenock Whinhill,55.93580528147668, -4.7623854760715805
hamilton,Hamilton,55.761277110729786, -4.007058688491861
Helmsdale,Helmsdale,58.1210584099258, -3.6577286466628673
hiltonpark,Hilton Park - Hilton,55.96848164171183, -4.3616137957767664
hiltonparkallander,Hilton Park - Allander,55.96848164171183, -4.3616137957767664
HoddomCastle,Hoddom Castle,55.041555864008195, -3.310411797446997
